order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDA00204,24/7/18,14:45:38,Lunch,BK,"[('Fries' , 1),('Salad' , 8),('Steak' , 3)]",284.6,-37.799876,144.984555,0,6.462,12.4915891
ORDA00269,18/7/18,14:35:29,Lunch,BK,"[('Burger' , 5),('Salad' , 9),('Fries' , 10),('Chicken' , 9)]",717.8,-37.8023292,144.9778124,0,6.821,13.0277458
ORDA00490,8/6/18,13:14:21,Lunch,BK,"[('Burger' , 6),('Chicken' , 2),('Steak' , 2)]",340,-37.815917,144.9655787,0,7.678,13.3906126
ORDA00680,10/8/18,15:16:03,Lunch,BK,"[('Salad' , 8),('Burger' , 6)]",323.6,-37.8055704,144.9416572,0,9.479,15.5586315
ORDA00871,26/2/18,9:51:32,Breakfast,BK,"[('Cereal' , 4),('Coffee' , 4),('Eggs' , 9),('Pancake' , 5)]",433.25,-37.8094626,144.9723672,0,6.71,11.644745
ORDA00906,12/4/18,11:12:40,Breakfast,BK,"[('Pancake' , 6),('Cereal' , 8),('Eggs' , 7),('Coffee' , 4)]",497.5,-37.8047365,144.9270512,0,10.788,15.7923205
ORDA01000,3/12/18,19:09:17,Dinner,BK,"[('Pasta' , 4),('Salmon' , 1)]",151,-37.8168021,144.9616241,0,7.995,14.5613209
ORDA01448,14/1/18,8:20:16,Breakfast,BK,"[('Cereal' , 3),('Coffee' , 1),('Pancake' , 5),('Eggs' , 3)]",257.75,-37.7993334,144.9259476,1,11.05,9.8176147
ORDA01564,18/1/18,8:30:25,Breakfast,BK,"[('Pancake' , 9),('Cereal' , 9),('Eggs' , 8),('Coffee' , 3)]",605.75,-37.8059259,144.9317588,1,10.405,7.2581209
ORDA01876,14/11/18,18:28:43,Dinner,BK,"[('Salmon' , 6),('Shrimp' , 3),('Pasta' , 2),('Fish&Chips' , 8)]",743,-37.8196442,144.9849259,0,6.286,13.1580346
ORDA02016,8/1/18,8:10:08,Breakfast,BK,"[('Eggs' , 10),('Coffee' , 7),('Cereal' , 8),('Pancake' , 6)]",586,-37.8176308,144.9811833,1,6.516,5.8708333
