order_id,date,time,order_type,branch_code,order_items,order_price,customer_lat,customer_lon,customerHasloyalty?,distance_to_customer_KM,delivery_fee
ORDJ03482,2018-09-29,16:57:27,Dinner,TP,"[('Fish&Chips', 2), ('Shrimp', 1)]",124.0,-37.8030195,144.9497312,0,9.949,14.24253706028892
ORDB05615,2018-08-18,15:36:20,Lunch,TP,"[('Burger', 4), ('Salad', 3), ('Steak', 2), ('Chicken', 5), ('Fries', 2)]",449.6,-37.813288,145.01041519999998,0,12.058,15.747673929902188
ORDI02286,2018-07-03,14:05:04,Lunch,NS,"[('Fries', 7), ('Burger', 7)]",301.0,-37.8097533,144.963887,0,7.431,13.220705006232388
ORDB05359,2018-02-15,09:21:07,Breakfast,TP,"[('Cereal', 2), ('Pancake', 8), ('Coffee', 2)]",251.0,-37.81559910000001,144.96224880000003,0,8.022,10.80651750495344
ORDI04880,2018-04-06,11:02:32,Breakfast,NS,"[('Coffee', 7), ('Pancake', 5), ('Eggs', 1)]",195.75,-37.8028201,144.9956864,0,8.487,13.621212609910133
ORDI06859,2018-08-02,15:05:54,Lunch,NS,"[('Steak', 6), ('Fries', 2)]",294.0,-37.799561,144.96366519999998,0,6.832000000000001,12.592335651725856
ORDZ05188,2018-11-02,18:08:27,Dinner,NS,"[('Pasta', 2), ('Salmon', 3)]",178.0,-37.8096417,144.971036,0,7.275,13.764324980277317
ORDC10057,2018-10-04,17:07:36,Dinner,NS,"[('Shrimp', 6), ('Fish&Chips', 5), ('Pasta', 5)]",636.5,-37.820727000000005,144.96707609999999,0,8.847000000000001,15.41340114936625
ORDI08724,2018-04-25,11:43:05,Breakfast,NS,"[('Cereal', 9), ('Pancake', 7)]",358.75,-37.8207776,144.9617034,0,9.045,14.20657170809819
ORDA08108,2018-03-23,10:42:15,Breakfast,BK,"[('Eggs', 8), ('Cereal', 1), ('Pancake', 6)]",342.5,-37.814786700000006,144.9500749,0,9.904,15.759537796362974
ORDC10292,2018-06-26,13:44:47,Lunch,NS,"[('Chicken', 5), ('Burger', 1), ('Salad', 2)]",225.4,-37.8256481,144.9845656,0,9.555,15.448846089657893
ORDI00362,2018-11-16,18:28:43,Dinner,NS,"[('Pasta', 5), ('Fish&Chips', 1)]",172.5,-37.8037573,144.95630490000002,0,7.72,14.23114361592908
ORDZ02866,2018-01-06,08:10:08,Breakfast,NS,"[('Cereal', 1), ('Pancake', 6)]",166.5,-37.8108189,145.003222,1,9.719,8.44505387164801
